iter	Passed	Remaining
0	149	149307
1	150	74992
2	151	50254
3	152	38019
4	153	30606
5	154	25651
6	156	22184
7	157	19526
8	158	17457
9	159	15792
10	160	14429
11	161	13293
12	162	12329
13	163	11505
14	164	10795
15	165	10163
16	166	9606
17	167	9113
18	167	8671
19	168	8275
20	169	7923
21	171	7625
22	173	7349
23	174	7077
24	175	6831
25	176	6597
26	177	6386
27	178	6188
28	179	6000
29	180	5825
30	181	5660
31	182	5509
32	183	5364
33	184	5231
34	186	5138
35	187	5013
36	188	4903
37	189	4797
38	190	4693
39	191	4591
40	192	4496
41	193	4406
42	194	4322
43	195	4238
44	196	4160
45	196	4083
46	197	4012
47	198	3943
48	199	3881
49	201	3824
50	202	3765
51	203	3710
52	204	3655
53	205	3602
54	206	3549
55	207	3498
56	208	3447
57	209	3398
58	210	3351
59	210	3305
60	211	3261
61	212	3219
62	213	3180
63	215	3147
64	216	3112
65	217	3079
66	218	3042
67	219	3006
68	220	2971
69	221	2938
70	222	2905
71	223	2874
72	223	2843
73	224	2813
74	225	2783
75	226	2755
76	227	2726
77	228	2698
78	229	2675
79	230	2655
80	232	2632
81	232	2608
82	233	2579
83	234	2557
84	235	2534
85	236	2512
86	237	2489
87	238	2469
88	239	2448
89	240	2428
90	241	2407
91	242	2388
92	242	2369
93	244	2351
94	245	2338
95	246	2321
96	247	2303
97	248	2284
98	249	2267
99	250	2250
100	250	2233
101	251	2217
102	252	2200
103	253	2185
104	254	2170
105	255	2154
106	256	2139
107	257	2124
108	258	2110
109	260	2109
110	261	2095
111	262	2082
112	263	2068
113	264	2055
114	265	2041
115	266	2029
116	266	2014
117	267	2003
118	268	1990
119	269	1979
120	270	1967
121	271	1954
122	272	1943
123	273	1932
124	274	1924
125	276	1915
126	276	1903
127	278	1894
128	279	1883
129	279	1872
130	280	1861
131	281	1851
132	282	1841
133	283	1831
134	284	1821
135	285	1811
136	286	1801
137	287	1792
138	288	1784
139	289	1778
140	290	1769
141	291	1759
142	292	1751
143	293	1744
144	294	1736
145	295	1728
146	296	1720
147	297	1712
148	298	1704
149	299	1696
150	300	1689
151	301	1681
152	302	1673
153	304	1671
154	305	1664
155	306	1658
156	307	1651
157	308	1643
158	309	1636
159	310	1629
160	311	1621
161	312	1614
162	313	1608
163	314	1601
164	315	1595
165	316	1588
166	317	1581
167	318	1577
168	319	1572
169	321	1567
170	322	1561
171	322	1554
172	323	1548
173	324	1541
174	325	1535
175	326	1529
176	327	1523
177	328	1516
178	329	1511
179	330	1505
180	331	1499
181	332	1493
182	333	1489
183	334	1484
184	335	1479
185	336	1473
186	337	1468
187	338	1462
188	339	1457
189	340	1451
190	341	1446
191	342	1440
192	343	1435
193	344	1430
194	345	1424
195	346	1419
196	347	1414
197	349	1414
198	350	1410
199	351	1405
200	352	1400
201	353	1395
202	354	1390
203	355	1385
204	356	1381
205	357	1376
206	357	1371
207	358	1366
208	359	1362
209	360	1357
210	361	1353
211	364	1354
212	365	1350
213	366	1346
214	367	1341
215	368	1337
216	369	1333
217	370	1328
218	371	1324
219	372	1320
220	373	1316
221	374	1312
222	375	1307
223	376	1303
224	377	1300
225	379	1299
226	380	1295
227	381	1291
228	382	1288
229	383	1284
230	384	1279
231	385	1275
232	386	1272
233	387	1268
234	388	1264
235	389	1260
236	390	1256
237	391	1252
238	392	1248
239	393	1246
240	394	1243
241	395	1239
242	396	1235
243	397	1231
244	398	1227
245	399	1224
246	400	1220
247	401	1217
248	402	1213
249	403	1210
250	404	1207
251	405	1203
252	406	1200
253	407	1198
254	409	1196
255	410	1192
256	411	1189
257	412	1185
258	413	1181
259	414	1178
260	415	1175
261	415	1171
262	416	1168
263	417	1164
264	418	1161
265	419	1158
266	420	1154
267	421	1151
268	423	1149
269	424	1147
270	425	1145
271	427	1143
272	428	1140
273	429	1137
274	430	1134
275	431	1131
276	432	1128
277	433	1125
278	434	1122
279	435	1119
280	436	1116
281	438	1115
282	439	1112
283	440	1109
284	441	1106
285	442	1103
286	442	1100
287	443	1097
288	444	1094
289	445	1091
290	447	1089
291	448	1086
292	449	1084
293	450	1081
294	451	1079
295	453	1078
296	454	1076
297	455	1073
298	456	1071
299	457	1068
300	458	1065
301	459	1062
302	460	1059
303	461	1057
304	462	1054
305	463	1051
306	464	1049
307	466	1047
308	468	1048
309	470	1046
310	471	1043
311	472	1040
312	472	1038
313	473	1035
314	475	1032
315	476	1030
316	477	1028
317	478	1025
318	479	1023
319	480	1020
320	481	1018
321	483	1017
322	484	1015
323	485	1012
324	486	1010
325	487	1008
326	488	1006
327	489	1003
328	491	1001
329	492	998
330	493	996
331	494	994
332	495	992
333	499	996
334	501	994
335	502	992
336	503	989
337	504	987
338	504	984
339	505	982
340	506	979
341	507	977
342	508	974
343	510	972
344	511	970
345	513	969
346	514	967
347	515	965
348	516	963
349	517	960
350	518	958
351	519	956
352	520	954
353	521	952
354	522	949
355	523	947
356	524	945
357	526	943
358	529	944
359	530	942
360	531	940
361	532	938
362	533	935
363	534	933
364	535	931
365	536	929
366	537	927
367	538	925
368	539	923
369	540	920
370	541	918
371	543	917
372	544	915
373	545	913
374	546	911
375	547	909
376	548	906
377	549	904
378	551	903
379	552	901
380	554	900
381	555	898
382	556	896
383	557	895
384	559	894
385	561	892
386	562	890
387	563	888
388	564	886
389	565	884
390	566	882
391	567	880
392	568	878
393	569	876
394	570	874
395	571	871
396	573	870
397	574	869
398	575	867
399	576	865
400	578	863
401	579	861
402	580	859
403	581	857
404	582	855
405	583	853
406	584	851
407	585	849
408	586	847
409	589	847
410	590	845
411	591	843
412	592	841
413	593	839
414	594	837
415	595	835
416	596	834
417	597	832
418	598	830
419	599	827
420	600	825
421	601	823
422	604	824
423	605	822
424	606	820
425	607	818
426	608	816
427	609	814
428	610	812
429	611	810
430	612	808
431	613	806
432	614	804
433	615	802
434	616	800
435	618	800
436	620	799
437	621	797
438	622	795
439	623	794
440	625	792
441	626	790
442	627	788
443	628	786
444	629	784
445	630	783
446	631	781
447	633	780
448	634	778
449	635	776
450	636	774
451	637	773
452	638	771
453	639	769
454	640	767
455	641	765
456	642	763
457	643	761
458	644	760
459	645	758
460	648	757
461	649	756
462	651	755
463	652	754
464	654	752
465	655	751
466	657	749
467	658	748
468	659	746
469	660	744
470	661	742
471	662	740
472	663	739
473	664	737
474	665	735
475	666	733
476	667	731
477	668	729
478	669	728
479	670	726
480	671	724
481	672	722
482	673	720
483	674	718
484	675	717
485	676	715
486	677	713
487	678	712
488	680	710
489	680	708
490	681	706
491	682	704
492	683	703
493	685	701
494	686	699
495	687	698
496	688	696
497	688	694
498	689	692
499	690	690
500	692	689
501	693	687
502	694	686
503	695	684
504	696	682
505	697	680
506	698	678
507	699	677
508	700	675
509	701	673
510	702	672
511	703	670
512	704	668
513	705	666
514	706	665
515	707	664
516	709	662
517	710	660
518	711	659
519	712	657
520	713	655
521	714	654
522	715	652
523	716	650
524	717	648
525	718	647
526	719	645
527	720	643
528	721	641
529	722	640
530	723	639
531	725	637
532	726	636
533	727	634
534	728	632
535	729	631
536	730	629
537	731	627
538	731	625
539	732	624
540	734	622
541	735	621
542	736	619
543	737	618
544	738	616
545	739	615
546	740	613
547	741	611
548	742	609
549	743	608
550	744	606
551	745	604
552	746	603
553	747	601
554	748	599
555	749	598
556	749	596
557	750	594
558	752	593
559	753	592
560	754	590
561	755	589
562	757	588
563	758	586
564	759	584
565	760	583
566	761	581
567	762	579
568	763	578
569	764	576
570	765	575
571	766	573
572	767	572
573	768	570
574	769	568
575	770	567
576	771	565
577	772	564
578	773	562
579	774	560
580	775	559
581	776	557
582	777	556
583	778	554
584	779	552
585	780	551
586	781	549
587	782	548
588	783	546
589	784	545
590	785	543
591	786	542
592	787	540
593	788	538
594	789	537
595	790	535
596	791	534
597	792	532
598	793	530
599	794	529
600	795	527
601	796	526
602	797	525
603	798	523
604	799	521
605	800	520
606	801	518
607	802	517
608	803	515
609	804	514
610	805	512
611	805	510
612	806	509
613	807	507
614	808	506
615	809	504
616	810	502
617	811	501
618	812	500
619	813	498
620	814	497
621	815	495
622	816	494
623	817	492
624	818	491
625	819	489
626	820	488
627	821	486
628	822	485
629	823	483
630	824	482
631	825	480
632	826	479
633	827	477
634	828	476
635	829	474
636	830	473
637	831	471
638	832	470
639	833	468
640	834	467
641	834	465
642	835	464
643	836	462
644	837	461
645	838	459
646	839	458
647	840	456
648	842	455
649	843	453
650	843	452
651	844	450
652	845	449
653	846	447
654	847	446
655	848	444
656	849	443
657	850	441
658	851	440
659	851	438
660	852	437
661	853	435
662	854	434
663	855	433
664	857	431
665	858	430
666	859	428
667	860	427
668	861	425
669	861	424
670	862	423
671	863	421
672	864	420
673	865	418
674	866	417
675	867	415
676	868	414
677	869	413
678	871	411
679	872	410
680	873	409
681	874	407
682	874	406
683	875	404
684	876	403
685	877	401
686	878	400
687	879	398
688	880	397
689	881	396
690	882	394
691	883	393
692	884	391
693	886	391
694	888	389
695	889	388
696	890	387
697	891	385
698	892	384
699	893	382
700	894	381
701	895	380
702	896	378
703	897	377
704	898	375
705	899	374
706	900	373
707	901	371
708	902	370
709	903	369
710	904	367
711	905	366
712	906	364
713	907	363
714	908	362
715	909	360
716	910	359
717	911	357
718	912	356
719	913	355
720	914	353
721	915	352
722	917	351
723	918	350
724	919	348
725	920	347
726	920	345
727	921	344
728	922	343
729	923	341
730	924	340
731	925	338
732	926	337
733	927	336
734	928	334
735	929	333
736	930	332
737	931	330
738	932	329
739	933	328
740	934	326
741	935	325
742	936	323
743	937	322
744	938	321
745	939	319
746	940	318
747	940	317
748	942	315
749	942	314
750	943	312
751	945	311
752	946	310
753	947	309
754	948	307
755	949	306
756	950	305
757	951	303
758	952	302
759	953	301
760	954	299
761	955	298
762	956	297
763	957	295
764	958	294
765	959	293
766	961	292
767	964	291
768	965	289
769	966	288
770	966	287
771	967	285
772	968	284
773	969	283
774	970	281
775	971	280
776	972	279
777	973	277
778	974	276
779	975	275
780	976	273
781	977	272
782	978	271
783	979	269
784	980	268
785	981	267
786	982	265
787	984	264
788	985	263
789	986	262
790	987	260
791	988	259
792	989	258
793	991	257
794	992	255
795	993	254
796	994	253
797	995	251
798	996	250
799	997	249
800	998	247
801	999	246
802	1000	245
803	1001	244
804	1002	242
805	1003	241
806	1006	240
807	1007	239
808	1008	238
809	1009	236
810	1010	235
811	1011	234
812	1012	232
813	1013	231
814	1014	230
815	1015	228
816	1016	227
817	1017	226
818	1018	225
819	1020	223
820	1021	222
821	1022	221
822	1023	220
823	1024	218
824	1025	217
825	1026	216
826	1027	214
827	1028	213
828	1029	212
829	1030	211
830	1031	209
831	1052	212
832	1054	211
833	1055	210
834	1057	208
835	1058	207
836	1059	206
837	1060	204
838	1061	203
839	1062	202
840	1064	201
841	1067	200
842	1069	199
843	1070	197
844	1071	196
845	1072	195
846	1073	193
847	1074	192
848	1074	191
849	1075	189
850	1077	188
851	1078	187
852	1080	186
853	1081	184
854	1082	183
855	1083	182
856	1084	180
857	1084	179
858	1085	178
859	1086	176
860	1087	175
861	1089	174
862	1090	173
863	1091	171
864	1091	170
865	1093	169
866	1094	167
867	1095	166
868	1096	165
869	1097	163
870	1098	162
871	1099	161
872	1100	160
873	1101	158
874	1102	157
875	1103	156
876	1104	154
877	1104	153
878	1105	152
879	1106	150
880	1107	149
881	1108	148
882	1110	147
883	1111	145
884	1111	144
885	1112	143
886	1113	141
887	1114	140
888	1115	139
889	1116	138
890	1117	136
891	1118	135
892	1119	134
893	1120	132
894	1121	131
895	1122	130
896	1123	129
897	1124	127
898	1125	126
899	1126	125
900	1128	123
901	1129	122
902	1130	121
903	1131	120
904	1132	118
905	1133	117
906	1133	116
907	1134	114
908	1135	113
909	1136	112
910	1137	111
911	1139	109
912	1140	108
913	1141	107
914	1142	106
915	1143	104
916	1144	103
917	1145	102
918	1146	101
919	1147	99
920	1148	98
921	1149	97
922	1150	95
923	1151	94
924	1151	93
925	1152	92
926	1154	90
927	1155	89
928	1156	88
929	1157	87
930	1158	85
931	1159	84
932	1160	83
933	1161	82
934	1162	80
935	1162	79
936	1163	78
937	1164	77
938	1165	75
939	1166	74
940	1167	73
941	1169	71
942	1170	70
943	1171	69
944	1172	68
945	1173	66
946	1174	65
947	1175	64
948	1175	63
949	1176	61
950	1177	60
951	1178	59
952	1179	58
953	1180	56
954	1181	55
955	1183	54
956	1184	53
957	1185	51
958	1186	50
959	1187	49
960	1188	48
961	1189	46
962	1190	45
963	1191	44
964	1192	43
965	1193	42
966	1194	40
967	1195	39
968	1196	38
969	1197	37
970	1198	35
971	1199	34
972	1200	33
973	1201	32
974	1202	30
975	1203	29
976	1204	28
977	1204	27
978	1205	25
979	1206	24
980	1207	23
981	1208	22
982	1209	20
983	1210	19
984	1211	18
985	1212	17
986	1214	15
987	1215	14
988	1215	13
989	1216	12
990	1217	11
991	1218	9
992	1219	8
993	1220	7
994	1221	6
995	1222	4
996	1223	3
997	1224	2
998	1225	1
999	1226	0
